uid,agency,bureau,name,stage,impact_status,description,topic_area,classification,vendor,contracting,withheld,operational_date,has_pii,demographic_features,justification,hi_assessment_completed,hi_testing_conducted,hi_potential_impacts,hi_independent_review,hi_ongoing_monitoring,hi_training_established,hi_failsafe_presence,hi_appeal_process,hi_public_consultation
synth::hhs::pdf information extraction for 889 forms,HHS,HHS/CDC,PDF information extraction for 889 Forms,Pilot,not-high-impact,The expected benefits include greater transparency regarding vendor compliance. Users have an easier way to look up and view vendor information across the center to eliminate duplicate request for vendor compliance. Users and staff will save time and potentially have less human error compared to manual data entry.,Admin Functions,Computer Vision,,In-house Development,No,Apr-25,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::atsdr toxicological assistant chatbot,HHS,HHS/CDC,ATSDR Toxicological Assistant chatbot,Deployed,not-high-impact,"This tool significantly reduce research time, ultimately enhancing efficiency in accessing critical toxicological information to effectively and rapid response to general public enquire relative to chemical exposure through to ATSDR Info.",Science,Generative AI,,Contracting and In House,No,Apr-25,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::machine learning with premier healthcare data to inform predictive modeling of antibiotic use,HHS,HHS/CDC,Machine Learning with Premier Healthcare Data to inform predictive modeling of antibiotic use,Deployed,not-high-impact,"This project uses the Premier Healthcare Database (PHD), an electronic health database, to predict inpatient antibiotic use and length of therapy using data readily available in claims and other electronic health record databases. This adds additional potential sources of information to support insights.",Health and Medical,Classical ML,,In-house Development,No,Apr-25,No,"['a) Race/Ethnicity', 'b) Sex', 'c) Age']",,,,,,,,,,[]
synth::hhs::machine learning techniques for early detection and situational awareness of rabies outbreaks,HHS,HHS/CDC,Machine Learning Techniques for Early Detection and Situational Awareness of Rabies Outbreaks,Deployed,not-high-impact,"This model is currently being using in domestic and international settings for early rabies outbreak detection. This information is shared with relevant public health authorities to initiate preventive actions which often include: public awareness campaigns/social media, deployment of vaccines for animals and people, deployment of testing reagents to bolster surveillance.",Health and Medical,Classical ML,,In-house Development,No,Jan-25,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::ai-powered web scanner for digital surveillance of rabies-related news articles,HHS,HHS/CDC,AI-Powered web scanner for digital surveillance of rabies-related news articles,Pilot,not-high-impact,"This scanner offers a low-resource method of scanning media for evidence of rabies outbreaks that jeopardize US traveler's health, faster and more reliably than relying on formal notifications or announcement from foreign governments.",Health and Medical,Agentic AI,,In-house Development,No,May-25,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::pathogen strain characterization from mixed strain samples,HHS,HHS/CDC,Pathogen strain characterization from mixed strain samples,Pre-deployment,not-high-impact,"Surveillance for diarrheal foodborne outbreaks currently depends upon the availability of bacterial isolates obtained from patient stools to obtain the pathogen ""genomic fingerprints"" identifying pathogen strains. The availability of these isolates for fingerprinting is declining nationwide due to technological advancements that improve patient care. To maintain our ability to detect outbreaks without isolates, CDC is developing laboratory methods that obtain the pathogen genomic fingerprint directly from the patient stool specimen. However, patient stools frequently contain more than one strain of pathogen, so the ability to deploy these methods and maintain the sensitivity of foodborne outbreak surveillance is dependent upon development of this ML-based method to sort pathogen genomic fingerprint pieces from stool. Based on FoodNet data, we estimate that failure to implement these methods could lead to the loss of up to 75% of the samples currently captured by surveillance for some pathogens. Fewer surveillance samples will mean fewer outbreaks are detected and it will take longer to detect them, resulting in more people affected. For a sense of the scale of the challenge, NORS recorded ~300 outbreaks of Salmonella and E. coli in 2023 that were detected as a result of isolate-based surveillance. Economic impact evaluations have estimated that PulseNet surveillance alone prevents ~270,000 cases of foodborne illness in the US annually for a savings of at least $500,000,000 to the economy.",Science,Classical ML,,,No,,,[],,,,,,,,,,[]
synth::hhs::amd-platform data harmonization,HHS,HHS/CDC,AMD-Platform Data Harmonization,Pre-deployment,not-high-impact,"Standardize datasets for analysis, increased quality of metadata and reduced processing time. Developed to reduce time for staff implementing Metadata submissions.",IT,NLP,,,No,,,[],,,,,,,,,,[]
synth::hhs::text embedding analysis tool,HHS,HHS/CDC,Text embedding analysis tool,Deployed,not-high-impact,One benefit is being able to get a quick-but-principled analytic overview of a (potentially very large) text corpus's semantic content. This may yield time savings for tasks like responding to public inquiries and doing qualitative analyses of unstructured datasets.,Health and Medical,NLP,,In-house Development,No,Jan-25,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::agentic rag chatbot,HHS,HHS/CDC,Agentic RAG Chatbot,Pre-deployment,not-high-impact,"Time savings, especially when programs are overwhelmed by acute increases in the volume of inquiries they receive after publishing a new guideline or regulation is the primary expected benefit.",Health and Medical,Agentic AI,,,No,,,[],,,,,,,,,,[]
synth::hhs::internal newsletter formatter tool,HHS,HHS/CDC,Internal Newsletter Formatter Tool,Deployed,not-high-impact,Expected to take less time summarizing and disseminating important information for leadership.,Admin Functions,NLP,,In-house Development,No,Jun-25,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::determining if multiple isolates share the same antimicrobial resistant plasmids using short read whole genome sequencing data,HHS,HHS/CDC,Determining if multiple isolates share the same antimicrobial resistant plasmids using short read whole genome sequencing data,Pilot,not-high-impact,"This will help in the early identification of outbreaks of antimicrobial resistant healthcare associated infections caused by the horizontal transmission of plasmids, which will help to increase the speed at which outbreaks are detected and addressed, potentially decreasing cases saving lives.",Science,Classical ML,,In-house Development,No,Dec-23,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::analyzing multidrug-resistant organism response data,HHS,HHS/CDC,Analyzing multidrug-resistant organism response data,Pre-deployment,not-high-impact,Cleaner and more accurate data on multidrug-resistant organism responses.,Health and Medical,NLP,,,No,,,[],,,,,,,,,,[]
synth::hhs::leveraging ai for the creation of synthetic datasets,HHS,HHS/CDC,Leveraging AI for the Creation of Synthetic Datasets,Pilot,not-high-impact,The use of an AI-assisted programming environment can significantly reduce the time required to write code for generating synthetic datasets. This efficiency allows us to quickly create the necessary variables and establish the relationships between them. The synthetic data produced through this project will enhance the training experience and streamline the software development process.,Science,Generative AI,,Contracting and In House,No,Apr-25,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::dhp data repository and dashboard chatbot,HHS,HHS/CDC,DHP Data Repository and Dashboard Chatbot,Pre-deployment,not-high-impact,Expected benefits include easier and more automated processing of narrative information received in DHP leading to time saved by staff currently processing the information and more efficient and easier use of and access to the information. One of the overarching goals of the DHP repository and dashboard project is to create a mechanism for Division leadership to make informed decisions more easily through easier access to information across work areas. The chatbot is expected to support this by providing a combined source of narrative information with an approachable user interface.,Health and Medical,NLP,,,No,,,[],,,,,,,,,,[]
synth::hhs::hiv data quality score (dqs) project,HHS,HHS/CDC,HIV Data Quality Score (DQS) Project,Pre-deployment,not-high-impact,"This project intends to enable HIV data managers to quickly identify errors, track trends in data quality by site, provide targeted technical assistance (TA), and automate some error corrections.",Health and Medical,NLP,,,No,,,[],,,,,,,,,,[]
synth::hhs::nchhstp social media modernization strategy: thought leadership and social listening,HHS,HHS/CDC,NCHHSTP Social Media Modernization Strategy: Thought Leadership and Social Listening,Pre-deployment,not-high-impact,"We are demonstrating how integrating AI-powered social listening into a communication strategy enhances audience engagement by enabling the creation of targeted content that addresses audience concerns and contributes factual, clinical information to trending conversations. NCHHSTP messages informed by AI-driven social listening data already show a significantly higher engagement rate and impact than those created without this approach. Weekly and monthly social listening reports also indicate an increase in the positive market share of online conversations, particularly during the promotion of NCHHSTP’s updated guidelines and public comment periods. Notably, the engagement rate of one of our Center’s social media accounts significantly increased from 0.017% in 2023 to 1.92% in 2024, representing a 1,029% increase since this strategy was implemented.",Emergency Mgmt,NLP,,,No,,,[],,,,,,,,,,[]
synth::hhs::lectora ai toolkit and microbuilder authoring tools,HHS,HHS/CDC,Lectora AI Toolkit and Microbuilder authoring tools,Retired,not-high-impact,,,,,,No,,,[],,,,,,,,,,[]
synth::hhs::using llm to optimize national health interview survey (nhis) case note information,HHS,HHS/CDC,Using LLM to optimize National Health Interview Survey (NHIS) case note information,Pilot,not-high-impact,"Utilizing large language models (LLMs) for case note reviews provides several advantages, including substantial time and cost savings, improved data quality post data collection, and the creation of more effective training programs. These enhancements not only optimize operational efficiency but also support the goals of public health organization by ensuring that high-quality data is readily available for informed decision-making.",Health and Medical,NLP,,In-house Development,No,Mar-25,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::auto-suggest journal tool,HHS,HHS/CDC,Auto-Suggest Journal Tool,Pre-deployment,not-high-impact,Reduction in researcher time spent searching through journal databases and websites to identify specific information about publication requirements.,Admin Functions,Generative AI,,,No,,,[],,,,,,,,,,[]
synth::hhs::use of national language processing/machine learning to identify personal identifiers in health center ehr medication data,HHS,HHS/CDC,Use of National Language Processing/Machine Learning to Identify Personal Identifiers in Health Center EHR Medication Data,Pre-deployment,not-high-impact,"The expected benefits are that with the use of these techniques to remove any personal identifiers, more medication data can be made available in restricted use data files for researchers and interested persons to analyze, which would ultimately allow more robust data for studying medications administered/present during visits to health centers.",Health and Medical,NLP,,,No,,,[],,,,,,,,,,[]
synth::hhs::ai-assisted extraction of circumstance information from national violent death reporting system narratives,HHS,HHS/CDC,AI-Assisted Extraction of Circumstance Information from National Violent Death Reporting System Narratives,Pre-deployment,not-high-impact,"Automating the extraction of circumstance information from NVDRS narratives using AI brings several important benefits. First, it significantly reduces the time required to process narrative data. While manual abstraction is resource-intensive and can take hours or days to review thousands of records, AI can accomplish this task in a matter of minutes. This efficiency is especially critical given the scale of the challenge: the NVDRS captures data on over 70,000 violent deaths annually, making manual analysis of detailed free-text information in the CME and LE narratives for each of these incidents impractical. In addition to saving time, AI improves data quality and consistency by applying uniform criteria across all records, which helps to minimize human error and variability. Furthermore, by extracting additional details, such as information about chronic pain or the presence of arguments, AI enhances the surveillance capabilities of public health officials. This richer data enables a better understanding of risk factors and circumstances surrounding violent deaths, which in turn informs more effective prevention strategies. Collectively, these outcomes directly support CDC’s mission to strengthen public health surveillance, guide prevention efforts, and ultimately reduce the incidence of violent deaths.",Health and Medical,NLP,,,No,,,[],,,,,,,,,,[]
synth::hhs::leveraging genai for efficient review of cdc programmatic reports,HHS,HHS/CDC,Leveraging GenAI for Efficient Review of CDC Programmatic Reports,Pre-deployment,not-high-impact,"By automating the extraction and analysis of critical information from programmatic data, generative AI is expected to significantly reduce the time required for manual coding and review. For example, initial applications have shown that AI can decrease manual review time from an estimated 35 hours to just 8 hours per topic, greatly enhancing efficiency. This time savings enables staff to focus on higher-level evaluations and strategic planning, improving the consistency and accuracy of assessments across multiple program areas.",Health and Medical,NLP,,,No,,,[],,,,,,,,,,[]
synth::hhs::bridging the gap: leveraging natural language processing to identify reasons for buprenorphine discontinuation in electronic health records,HHS,HHS/CDC,Bridging the gap: Leveraging natural language processing to identify reasons for buprenorphine discontinuation in Electronic Health Records,Pre-deployment,not-high-impact,"The Data Science Upskilling Program advances a key focus of the agency’s Data Modernization Initiative, i.e., that CDC's mission is to give all people the information they need for decision-making and wellbeing. Through participation in the Data Science Upskilling Program (DSU), the DOP-DSU team was able to extract actionable insights from EHR, contextualized further by supplementing with NLP-derived data from clinical notes. They developed an algorithm identifying patients with OUD who discontinued buprenorphine and used it to characterize discontinuation reasons using EHR. This has helped provide a fuller understanding of the what and the why surrounding discontinuation of this life-saving treatment, underscoring the need for strategies that improve retention in treatment. The team also built important DOP capacity in working with EHR data and NLP-derived data, including assessing data quality, and linking, processing, analyzing, visualizing and interpreting these data.",Health and Medical,NLP,,,No,,,[],,,,,,,,,,[]
synth::hhs::automating influenza vaccine virus data processing,HHS,HHS/CDC,Automating Influenza Vaccine Virus Data Processing,Pilot,not-high-impact,"The automation from this AI use case reduced processing time for new data from about one week to one day, enabling faster access and analysis of CVV data to enhance CDC’s preparedness for upcoming flu seasons.",Science,Generative AI,,In-house Development,No,Apr-25,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::lineage assignment by extended learning (label),HHS,HHS/CDC,Lineage Assignment by Extended Learning (LABEL),Deployed,not-high-impact,Reliable and accurate clade assignment helps with downstream surveillance reporting and modeling. Accuracy is generally >98% and saves time through automation.,Science,Classical ML,,In-house Development,No,Jan-14,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::enhancing influenza a risk assessment rubrics: leveraging predictive correlates and machine learning from in vivo experiments.,HHS,HHS/CDC,Enhancing influenza A risk assessment rubrics: leveraging predictive correlates and machine learning from in vivo experiments.,Pilot,not-high-impact,"CDC’s Influenza Risk Assessment Tool (IRAT) rubric is utilized to assess the pandemic potential of novel or emerging IAV that pose a threat to human health. A better understanding of which key quantifiable metrics of virus behavior in this species are most frequently correlated with virulence or transmissibility would greatly aid CDC leadership who score viruses in this rubric to ensure contributing data from the ferret model is rigorously and accurately contextualized within these risk assessments. As the project relies solely on previously collected in vivo data, it represents a valuable opportunity to support the 3 R’s of animal research (reduction, refinement, and replacement), gathering additional information from 25+ years of research in the ferret model already conducted at CDC, thus highlighting the agency’s commitment to responsible and ethical animal research. Numerous peer-reviewed publications have already resulted from this work, including development of predictive models of lethal disease and virus transmissibility, and assessment of which parameters and sample types collected during routine laboratory experimentation offer highest predictive value in these models. These first-in-field analyses also provide an analytic framework and template for subsequent studies with other data collected at CDC.",Science,Classical ML,,In-house Development,No,May-23,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::repoanalysis,HHS,HHS/CDC,RepoAnalysis,Pilot,not-high-impact,This would allow people to search for code and reuse code that is not documented well enough for traditional search engines.,IT,Generative AI,,In-house Development,No,Jan-25,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::data standardization with llm,HHS,HHS/CDC,Data Standardization with LLM,Pre-deployment,not-high-impact,"Improve data cleaning and standardization processes within our data systems. ? Enhance the accuracy and reliability of data stored. Streamline workflows by automating certain tasks related to data cleaning and standardization. ? More specifically, the ultimate scope of this project includes integrating into the existing infrastructure of FluLIMS. The data as well as rules . For example, sometimes we have misspelled locations or various ways of referring to the same place (i.e., ATL vs Atlanta) and we would like to standardize that. ? By implementing this proposed project, we anticipate significant improvements in data cleaning and standardization processes within FluLIMS, leading to enhanced efficiency, accuracy, and overall effectiveness in managing flu-related information.? This will most likely lead to up to at least 50% reduction in time and effort to clean data. This can be used for other cleaning other data or other processes that LLM would be useful for.",Science,Agentic AI,,,No,,,[],,,,,,,,,,[]
synth::hhs::using databricks genie for routine immunization data insights,HHS,HHS/CDC,Using Databricks Genie for Routine Immunization Data Insights,Pilot,not-high-impact,"The use of a Large Language Model (LLM) based approach for generating code to analyze immunization data offers several promising benefits for the CDC's immunization program staff and data operation team: 1. Enhanced Efficiency and Time Savings: By enabling plain language queries, this approach significantly reduces the time and effort required for complex data manipulation and coding. This will allow program and data ops staff to focus on more critical tasks, potentially plan the data management tasks efficiently. 2. Improved Data Quality and Management: The insights generated can help identify data quality issues and inform better data management practices. This will lead to potentially more accurate and reliable data. 3. Cost-Effectiveness: Simplifying the analysis process reduces the need for extensive manual labor and specialized coding skills and compute costs. 4. Scalability: Handling approximately 5 billion records quarterly, this approach can scale to meet the demands of large datasets, ensuring timely and comprehensive analysis.",Science,Generative AI,,Contracting and In House,No,Jun-25,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::vaccine tracking system (vtrcks) conversational ai pilot,HHS,HHS/CDC,Vaccine Tracking System (VTrckS) Conversational AI Pilot,Pilot,not-high-impact,"This AI pilot aims to add efficiency for CDC awardees and CDC program staff in gathering insights from the VTrckS order, distribution, shipping, transfers and provider information available in the NCIRD’s Advanced Business Intelligence Platform (NABIP). This tool will allow awardees to rapidly gather insights with no coding required both during routine operations and local or national emergency response. Some examples of data insights users gather from the data includes: - Assess active providers – Determine if provider is complaint to obtain vaccines through VFC or 317 programs. - Provider Management – Validate address and scope of provider’s offering to public. - Determine providers with specific vaccine availability – Determine provider vaccine inventory unique to vaccines distributed. - Assess provider locations against vulnerable populations – Quickly respond to routine or emergent request for information related to provider locals with key vaccine inventory.",Health and Medical,Generative AI,,Contracting and In House,No,Oct-25,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::beryllium exposure reconstruction,HHS,HHS/CDC,Beryllium exposure reconstruction,Pre-deployment,not-high-impact,Previously exposure codes were assigned manually by researchers. This method would increase consistency and accuracy of exposure coding and substantially reduce the amount of time needed to assign exposure codes and reduce exposure misclassification.,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
synth::hhs::site audit ai support (saais) app,HHS,HHS/CDC,Site Audit AI Support (SAAIS) App,Pre-deployment,not-high-impact,Reduced time and errors and greater consistency related to audits of manufacturing sites used to produce NIOSH Approved respirators.,Service Delivery,NLP,,,No,,,[],,,,,,,,,,[]
synth::hhs::respirator selection logic (rsl) copilot,HHS,HHS/CDC,Respirator Selection Logic (RSL) Copilot,Pre-deployment,not-high-impact,"No current AI tool operationalizes the RSL while addressing the challenge of gathering and validating highly specific input information required at each decision point. The absence of such assistance leads to errors in respirator selection that can cause hazardous exposures, regulatory violations, and adverse health outcomes. Developing Ally to close this gap will improve the effectiveness of respiratory protection programs by ensuring that users supply accurate, relevant data to the RSL, thereby enhancing the quality and traceability of respiratory protection decisions aligned with established federal guidance.",Service Delivery,NLP,,,No,,,[],,,,,,,,,,[]
synth::hhs::ppe concerns copilot,HHS,HHS/CDC,PPE Concerns Copilot,Pre-deployment,not-high-impact,"The Copilot could handle the initial steps—reviewing the question, searching past responses, and drafting a reply—which currently take the most time. For straightforward or simple, repeat questions, this could reduce staff time from 30–60 minutes to under 10 minutes, with staff only needing to review and finalize the AI-generated draft. Even for more complex inquiries, having a well-structured starting point and a searchable interface would significantly cut down manual effort and improve turnaround time across the board. Additionally, the Copilot would improve time savings when a new staff member is assigned to managing the mailbox due to events such as staffing changes. The Copilot would allow a more seamless transition of the mailbox, whereas the current process requires months of on-the-job training to effectively navigate the spreadsheet and learn the proper standard responses to use for specific inquiries. Additionally, the Copilot would remove the burden of relying on memory recall to determine where a previous response is in the spreadsheet when staff receive specific, repeat questions.",Service Delivery,NLP,,,No,,,[],,,,,,,,,,[]
synth::hhs::assessing public comment responses to draft niosh wildland fire smoke document,HHS,HHS/CDC,Assessing public comment responses to draft NIOSH wildland fire smoke document,Pre-deployment,not-high-impact,Make the NIOSH response to public comments more efficient and effective and reduce the time needed to review public comments.,Admin Functions,NLP,,,No,,,[],,,,,,,,,,[]
synth::hhs::mining.ai,HHS,HHS/CDC,Mining.AI,Pre-deployment,not-high-impact,"•Accelerates Access to Critical Safety Knowledge Mining.AI enables instant retrieval of NIOSH mining research, technical reports, and best practices, replacing slow manual searches through multiple archives. •Supports Faster, Safer Decision-Making Frontline professionals, engineers, and safety managers can query the AI to get tailored responses grounded in NIOSH-validated scientific evidence. •Preserves Expertise Encodes decades of institutional knowledge into a reusable, interactive platform, mitigating the impact of staff turnover and retirements. •Promotes Research Translation Converts dense, technical research into actionable language accessible to a wider range of users, including mine operators and workers.",Science,NLP,,,No,,,[],,,,,,,,,,[]
synth::hhs::csb mcp ai,HHS,HHS/CDC,CSB MCP AI,Pre-deployment,not-high-impact,"Expected to generate reports for and answer questions posed by senior staff about CSB infrastructure, improving accuracy and freeing infrastructure administrators from these tasks. Assist infrastructure administrators with tasks and duties, improving accuracy and completion time.",IT,Agentic AI,,,No,,,[],,,,,,,,,,[]
synth::hhs::support for mcp and ai apis in digital gateway,HHS,HHS/CDC,Support for MCP and AI APIs in Digital Gateway,Pre-deployment,not-high-impact,"Centralized Management: The Digital Gateway can act as a centralized point for managing interactions between AI agents and MCP servers. This simplifies the integration process and ensures consistent policy enforcement across all tools and data sources. Enhanced Security: By routing all requests through the Digital Gateway, the CDC can enforce security policies, access controls, and rate limiting. This helps protect sensitive health data and ensures compliance with regulatory requirements. Improved Data Governance: The Gateway can provide visibility into data usage and interactions, helping the CDC maintain robust data governance practices. This includes monitoring access, usage patterns, etc.",IT,Agentic AI,,,No,,,[],,,,,,,,,,[]
synth::hhs::delegations repository assistant,HHS,HHS/CDC,Delegations Repository Assistant,Pre-deployment,not-high-impact,"Staff currently spend considerable time searching for this type of guidance, which slows administrative actions and diverts focus from core public health work. By streamlining access to internal policies and procedures, this proof of concept supports greater operational efficiency. While the chatbot does not directly impact health outcomes, it enables staff to redirect time toward critical public health priorities and lays the groundwork for applying similar tools across other business functions that support CDC’s mission.",Admin Functions,NLP,,,No,,,[],,,,,,,,,,[]
synth::hhs::ofr robotics and process automation (orpa),HHS,HHS/CDC,OFR Robotics and Process Automation (ORPA),Deployed,not-high-impact,"Multiple Robotics and Process Automation (RPA) bots are in use. Most are simple automations of basic tasks (conversation of documents/file management). The two most significant bots focus on automating the sorting and distribution of thousands of invoices annually (Invoice Mailbox Management) and conducting government purchase card use validations monthly (PCARD Line Item Review). The result of the two bots are greater consistency/quality in the outputs and a reduction in human workload. The Invoice Mailbox Management bot processes >15,000 emails annually and the PCARD Line Item Review bot processes 3,000 – 5,000 transactions monthly against more than 200 unique business rules.",Procurement and Finance Mgmt,Agentic AI,UIPath,Contracting and In House,No,May-24,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::ferret,HHS,HHS/CDC,FERRET,Pre-deployment,not-high-impact,"Usage of programs to automate identification, extraction, and re-structuring of data will significantly decrease human involvement and processing time. Once deployed the time savings is anticipated to be on the scale of weeks to months.",Health and Medical,Agentic AI,,,No,,,[],,,,,,,,,,[]
synth::hhs::deep research for public health,HHS,HHS/CDC,Deep Research for Public Health,Pilot,not-high-impact,"Empirical evidence from the report shows that the AI compressed tasks that would normally take days or months, into a single automated workflow, with 92% of subject matter experts reporting substantial productivity gains. Quantitative analysis from an internal study found that 94% of prompts resulted in successful, high-quality reports (median rating “very good”), with most completed in under 30 minutes. The AI demonstrated strong effectiveness in information retrieval, data analysis, and strategic planning across a wide range of public health domains, enabling faster, more informed decision-making and allowing CDC staff to focus on higher-level work that benefits public health outcomes.",Science,Agentic AI,OpenAI,Vendor Purchased,No,Apr-25,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::federal select agents program (fsap) customer agent,HHS,HHS/CDC,Federal Select Agents Program (FSAP) Customer Agent,Pilot,not-high-impact,Support will be provided to users without additional staffing requirements. Users will get fast and accurate solutions to questions instantly.,IT,NLP,,In-house Development,No,Mar-25,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::publication portfolio analytics,HHS,HHS/CDC,Publication Portfolio Analytics,Deployed,not-high-impact,"OS DSAT utilizes NLP to generate organization-specific reports and maintain an agency-wide dashboard. In the case of the agency-wide publication impact dashboard, NLP topic modeling was used to identify common publishing themes for the agency using 10+ years of CDC publication data. This allows users to see trends in publishing topics have changed over time and, when connected to media attention and citation data, allows communication teams, leadership, and scientists interested in assessing the impact of their program’s publications. This dashboard has proven to be impactful, with 105 unique CDC staff across several CIOs and divisions using the dashboard between 7/1/2025 and 8/1/2025.",Admin Functions,NLP,,In-house Development,No,Jun-23,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::cdc vault and stacks metadata extraction,HHS,HHS/CDC,CDC Vault and Stacks Metadata Extraction,Deployed,not-high-impact,"There are two primary paths and uses for the AI assisted pre-processing. The first is to improve the speed and effectiveness of human catalogers/librarians. Long term, we need to be able to process more data and require AI to improve this process so that humans are only working on critical steps and validation of the AI. This process is going from 60 minutes per document to <5 minutes per document. The second is to process federal records prior to a record being entered into CDC Vault and copied to NARA. This process will not have a human review as the final disposition is not public but we need to process a large number of files (100s of thousands to millions). This is simply not realistic to do via humans so this is a novel opportunity.",Admin Functions,Agentic AI,,Contracting and In House,No,Apr-25,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::aip assist,HHS,HHS/CDC,AIP Assist,Deployed,not-high-impact,"AIP Assist benefits the agency and general public by enabling users to quickly understand the platform which allows them to quickly ramp up the development of new applications. It supports assistance for platform navigation, coding tasks, documentation support, and problem solving for users when working on applications in many roles including data science, data engineering, machine learning, and AI.",Admin Functions,Generative AI,Palantir Technologies,Vendor Purchased,No,Oct-24,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::center for forecast and analytics (cfa) model studio,HHS,HHS/CDC,Center for Forecast and Analytics (CFA) Model Studio,Pilot,not-high-impact,"This tool is intended to extend the Natice Modeling Objectives capabilities on platform to reduce the effort and burden around bringing models on platform and especially allow for R based models for fine evaluation. Additionally, adds flexibility for users to utilize their preferred modelling language and tools",Health and Medical,Other,Palantir Technologies,Contracting and In House,No,Jan-25,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::enhanced direct enrollment outlier detection,HHS,HHS/CMS/CCIIO,Enhanced Direct Enrollment Outlier Detection,Pre-deployment,declassified,"Implement ML to identify anomalies/quality issues with partner-submitted person, application, and policy data?.",IT,Classical ML,,,No,,,[],"The Enhanced Direct Enrollment Outlier Detection use-case is not considered high-impact as it does not serve as the basis for decisions or actions that affect civil rights, liberties, privacy, critical resources, safety, or strategic assets. The AI models within this use-case use machine learning techniques to detect anomalous or inconsistent patterns relative to standard partner actions and other application channels outside of the EDE pathway. The findings are shared with the agency divisions in the form of different reports and tables. The data alone is not enough to determine fraud, however, can be used by CMS in tandem with other data to determine if CMS should take any corrective actions. CMS makes all determinations on actions.",,,,,,,,,[]
synth::hhs::it system utilization optimization,HHS,HHS/CMS/CCIIO,IT System Utilization Optimization,Pre-deployment,not-high-impact,Implement ML to determine optimized infrastructure/application scaling to support system volume.,IT,Classical ML,,,No,,,[],,,,,,,,,,[]
synth::hhs::risk adjustment outlier analysis,HHS,HHS/CMS/CCIIO,Risk Adjustment Outlier Analysis,Pre-deployment,not-high-impact,Implement ML to identify outliers in issuer data that may unduly influence risk adjustment transfers.,IT,Classical ML,,,No,,,[],,,,,,,,,,[]
synth::hhs::agent/broker fraud analysis (abcqi),HHS,HHS/CMS/CCIIO,Agent/Broker Fraud Analysis (ABCQI),Pre-deployment,declassified,Implement Machine Learning (ML) to identify potential fraud/waste/abuse within Agent/Broker data.,IT,Classical ML,,,No,,,[],"The Agent/Broker Fraud use-case is not considered high-impact as it does not serve as the basis for decisions or actions that affect civil rights, liberties, privacy, critical resources, safety, or strategic assets. The AI models within this use-case use machine learning techniques to detect patterns that are inconsistent or anomalous relative to standard consumer, agent broker, and partner actions. Our findings are shared with the agency divisions in the form of reports and tables and can be used in combination with additional information derived outside of this AI tool to determine if CMS should take any corrective actions. All outcomes are internal facing. CMS makes all determinations on actions.",,,,,,,,,[]
synth::hhs::help desk responses,HHS,HHS/CMS/CCIIO,Help Desk Responses,Pre-deployment,not-high-impact,Generate responses to common questions from issuers and external organizations based on previously cleared material.,IT,NLP,,,No,,,[],,,,,,,,,,[]
synth::hhs::chatbot within hub,HHS,HHS/CMS/CCIIO,Chatbot within Hub,Pre-deployment,not-high-impact,Build a chatbot that will address some help support activities through: 1. Access to Internal Knowledge base Including retrieval augmented generation (RAG) 2. Personalized FAQs & contextual generation 3. Interaction with Live Agent 4. Chat & Talk Feature 5. Ability to query custom data source for File or Case status,IT,Classical ML,,,No,,,[],,,,,,,,,,[]
synth::hhs::independent dispute resolution (idr) eligibility rules engine,HHS,HHS/CMS/CCIIO,Independent Dispute Resolution (IDR) Eligibility Rules Engine,Deployed,not-high-impact,"The AI tool will help automate the eligibility review process, reducing time-intensive manual steps and increasing consistency of results.",Service Delivery,Classical ML,,Vendor Purchased,No,Mar-25,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::review regulatory comments,HHS,HHS/CMS/CCIIO,Review Regulatory Comments,Pre-deployment,not-high-impact,Identify trends in responses from commenters in policy and operational issues proposed by CMS.,IT,Classical ML,,,No,,,[],,,,,,,,,,[]
synth::hhs::improved data quality checks,HHS,HHS/CMS/CCIIO,Improved Data Quality Checks,Pre-deployment,not-high-impact,Develop a POC classifier model to identify incorrect document upload types / low-quality images through use of optical character recognition (OCR).,IT,Classical ML,,,No,,,[],,,,,,,,,,[]
