agency,agency_name,id,use_case_name,agency_bureau,contact_email,is_withheld,development_stage,is_high_impact,HI_justification,topic_area,classification,problem_solved,benefits,system_outputs,operational_date,contracting_usage,vendor_name,have_ato,system_name_ato,data_description,link_to_data,has_pii,pia_url,demographic_features,has_custom_code,code_url,hi_testing_conducted,hi_assessment_completed,hi_potential_impacts,hi_independent_review,hi_ongoing_monitoring,hi_training_established,hi_failsafe_presence,hi_appeal_process,hi_public_consultation
HHS,Department of Health and Human Services,,RAPID Analysis of Policy and Program Documents (RAPID),HHS/CDC,hhs.caio@hhs.gov,No,Pilot,Not High-impact,,Admin Functions,NLP,"To streamline and automate the review and evaluation of policy and program documents, saving staff time, reducing the need for specialized training, providing consistent and complete answers, and enabling easy validation and collaboration.","The web application will save staff time, expand capacity, provide consistent and complete answers to policy surveillance and evaluation questions, reduce intra-rater variability, and enable easy validation and collaboration on policy projects.","An internal web application that allows users to import, store, search, and analyze policy or program documents; ask questions of relevant text segments; validate answers; and collaborate on projects. Outputs include plain language answers, binary codes or scores, and project-specific databases.",Sep-25,Contracting and In House,,Yes,EDAV (Enterprise Data Analytics and Visualization Platform),RAPID analysis of DNPAO policy and program data using GPT results in project-specific databases. AI-generated data are compared to CDC manual reviews by SMEs for accuracy and reliability.,,No,,['k) None of the above'],Yes,,,,,,,,,,[]
HHS,Department of Health and Human Services,,SewerScout: Automated on-site sewage facility detection from aerial imagery to identify failed systems,HHS/CDC,hhs.caio@hhs.gov,No,Pre-deployment,Not High-impact,,Health and Medical,Computer Vision,"To automate the identification of onsite wastewater systems and detect failed systems using aerial imagery, enabling public health departments to efficiently locate and assess septic systems without resource-intensive field visits.","The project will allow state, tribal, local, and territorial public health departments to more easily identify failing septic systems, address contamination risks, and improve disaster response by providing a ready catalog of systems. This will save time and resources compared to manual surveys, especially in rural and remote areas.","The system outputs include identification and mapping of onsite sewage facilities, with the intent to distinguish between functional and failed systems, supporting public health surveillance and intervention.",,,,,,,,,,[],,,,,,,,,,,[]
HHS,Department of Health and Human Services,,Sidekick Comms bot Offering User-friendly Tips (SCOUT),HHS/CDC,hhs.caio@hhs.gov,No,Deployed,Not High-impact,,Admin Functions,NLP,"To reduce the workload of health communicators by automating and simplifying the creation of web pages, social media posts, and other public-facing content, making information more accessible and understandable for the general public.","The solution accelerates content creation, reduces staff burden, and increases the accessibility and clarity of CDC information for the public. All AI-generated content is reviewed by experts to ensure accuracy and quality, supporting the CDC’s mission to provide clear, science-based public health information.","The AI system generates plain language versions of existing web content, creates new content for web, social media, fact sheets, and graphics, and produces social media posts. All outputs are reviewed and edited by CDC experts before publication.",Jan-25,Contracting and In House,,Yes,EDAV (Enterprise Data Analytics and Visualization Platform),"The use case focuses on generating content from existing, publicly available CDC materials.",,No,,['k) None of the above'],No,,,,,,,,,,[]
HHS,Department of Health and Human Services,,Transcribing Cognitive Interviews with Whisper,HHS/CDC,hhs.caio@hhs.gov,No,Deployed,Not High-impact,,Admin Functions,NLP,"Reducing the time and effort required to transcribe cognitive interviews for federal health survey research, enabling faster and higher-quality analysis of qualitative data.","The AI system is expected to significantly reduce the hours required for qualitative review by automating transcription, enabling immediate comparison of interview concepts and answers, and providing timestamps for easier reference. This will accelerate research publication and improve the quality of survey questions used in federal surveys.","The AI generates transcripts from recorded interviews, which are used by staff for qualitative research in support of federal health survey research.",Jul-24,In-house Development,,No,,No agency-owned data was used; publicly available data was used to evaluate performance.,,No,,['k) None of the above'],No,,,,,,,,,,[]
HHS,Department of Health and Human Services,,Use of Natural Language Processing for Topic Modeling to Automate Review of Public Comments to Notice of Proposed Rulemaking,HHS/CDC,hhs.caio@hhs.gov,No,Pilot,Not High-impact,,Admin Functions,NLP,"Manual review of large volumes of public comments for Notices of Proposed Rulemaking is labor-intensive and time-consuming. The AI is intended to organize and cluster comments by theme, improving the efficiency and effectiveness of manual review and ensuring all topics are accurately reported.","The AI system will enhance the speed and quality of manual review of public comments, enable better thematic organization, and reduce the burden on staff. This supports compliance with legal requirements for public comment review and improves the insights gained from public input.","The AI generates clusters of similar public comments, organized by theme, to aid in manual review.",Apr-23,In-house Development,,Yes,EDAV (Enterprise Data Analytics and Visualization Platform),Not specified,,No,,['k) None of the above'],No,,,,,,,,,,[]
HHS,Department of Health and Human Services,,Short-term Forecasting of Severe Outcomes for Seasonal and Epidemic Pathogens,HHS/CDC,hhs.caio@hhs.gov,No,Deployed,Not High-impact,,Emergency Mgmt,Classical ML,"Predict severe disease outcomes - such as emergency department visits or hospital admissions - over short time horizons (1-4 weeks) to improve situational awareness for planning and decision-making at the national, state, and local level. Traditional AI/ML models (e.g. time series models) are mainly used as baselines against which to test and improve more sophisticated modeling methods.","Providing timely, accurate, and actionable forward-looking information on severe disease outcomes to government officials and the public.",Current outputs include weekly state and national hospital admissions forecasts for COVID-19 and influenza (public-facing) and weekly state and national ED visit forecasts for COVID-19 and influenza (internal to CDC at this time).,Oct-23,Contracting and In House,,Yes,EDAV (Enterprise Data Analytics and Visualization Platform),"Internal and publicly available hospital admissions data collected through the National Hospital Safety Network (NSHN), internal and publicly available emergency department visit data collected through the National Syndromic Surveillance Program (NSSP), internal wastewater concentration data collected through the National Wastewater Surveillance System (NWSS)",,No,,['k) None of the above'],Yes,CFA's signal fusion modeling framework: https://github.com/CDCgov/pyrenew; CFA's renewal model implementation: https://github.com/CDCgov/pyrenew-hew; CFA-run COVID-19 Forecasting Hub: https://github.com/CDCgov/covid19-forecast-hub,,,,,,,,,[]
HHS,Department of Health and Human Services,,CDC Chatbot - Enterprise Data Assistant,HHS/CDC,hhs.caio@hhs.gov,No,Deployed,Not High-impact,,Admin Functions,Generative AI,"This tool is a general purpose assistant for CDC staff to ask questions of large sets of documents. Staff may take hours to find the relevant information, and this tool enables fast access powered by Retrieval Augmented Generation (RAG).",Staff have increased access to relevant information and documents through faster and easier knowledge management.,The system generates responses to staff questions based upon the provided available information. This includes citations and references to sections of available documents for staff to further explore.,Feb-24,Contracting and In House,,Yes,"EDAV (Enterprise Data, Analytics, and Visualization Platform)","Documentation, standard operating procedures, or other materials supplied by staff may be used as content for the RAG Model here. Examples include the documentation from our Enterprise Data, Analytics, and Visualization platform explaining the available tools, products, and other features.",,No,,['k) None of the above'],No,,,,,,,,,,[]
HHS,Department of Health and Human Services,,Leveraging AI for Metadata Tagging for Enterprise Data Catalog of CDC,HHS/CDC,hhs.caio@hhs.gov,No,Deployed,Not High-impact,,Admin Functions,NLP,"Manual metadata tagging for datasets in the CDC Enterprise Data Catalog is inconsistent, incomplete, and time-consuming. The AI automates and standardizes metadata tagging, improving catalog usability and reducing manual effort.","The AI increases the speed and consistency of metadata tagging, making the data catalog more usable for CDC staff. This reduces manual effort, improves the completeness and standardization of metadata, and helps staff more efficiently find and use relevant datasets.","The AI generates suggested metadata fields (tags) for each dataset based on existing metadata, which are then used by staff to improve dataset discovery and relevance in the enterprise data catalog.",Jun-24,In-house Development,,Yes,EDAV (Enterprise Data Analytics and Visualization Platform),Enterprise Data Catalog metadata fields,,No,,['k) None of the above'],Yes,,,,,,,,,,[]
HHS,Department of Health and Human Services,,Malaria parasites DNA barcode geography classification,HHS/CDC,hhs.caio@hhs.gov,No,Deployed,Not High-impact,,Health and Medical,Classical ML,"To complement epidemiologic investigations of domestic malaria cases by determining the geographic origin of malaria parasite strains, helping to understand how the strain entered the US.","This AI supports epidemiological investigations by providing rapid, automated classification of malaria parasite genotypes to geographic origins. This enhances the ability to track and respond to malaria cases, especially those domestically acquired, and supports public health interventions. 
For more information, see the manuscript:?https://journals.asm.org/doi/full/10.1128/aac.01203-24","The AI examines a sequence barcode/genotype and assigns the malaria parasite genotype to a geographic origin (e.g., continent or subregion).",Jul-23,In-house Development,,Yes,AMD (Advanced Molecular Detection Scientific Computing Platform),"Data used are a mixture of data generated at CDC and other data available publicly. 

CDC data: 

https://www.ncbi.nlm.nih.gov/bioproject/PRJNA428490/ 

https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1092573/ 

https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1110244 

Non-CDC data: 

https://apps.malariagen.net/apps/pf7/ 

Travel histories from case patients were used to assess model performance (see manuscript:?https://journals.asm.org/doi/full/10.1128/aac.01203-24)",,No,,['k) None of the above'],Yes,,,,,,,,,,[]
HHS,Department of Health and Human Services,,The School Closure Awareness System,HHS/CDC,hhs.caio@hhs.gov,No,Deployed,Not High-impact,,Emergency Mgmt,NLP,"To efficiently and accurately identify and categorize unplanned school closures across the U.S. using publicly available social media data, replacing a costly and labor-intensive manual process.","The AI system has saved nearly $2 million in contracting fees and reduced human work hours by 200 hours. It enables faster, more comprehensive, and more detailed capture of unplanned school closure data than the previous manual process, supporting CDC’s emergency response and reporting obligations.","The system processes Facebook posts from about 40,000 school or district accounts, using a large language model to categorize posts as unplanned school closures (by event type: weather, health, facility, safety) and denote status changes (full closure, virtual, hybrid, early/late dismissal). Outputs are reviewed and recoded by staff every 24 hours.",Nov-22,In-house Development,,Yes,"EDAV (Enterprise Data, Analytics, and Visualization Platform)","Publicly available Facebook posts from approximately 40,000 school or district accounts.",,No,,['k) None of the above'],Yes,,,,,,,,,,[]
HHS,Department of Health and Human Services,,Using Generative AI for Stance Analysis of Public Comments on CDC’s Proposed Rules,HHS/CDC,hhs.caio@hhs.gov,No,Deployed,Not High-impact,,Admin Functions,Generative AI,"Manual review of public comments for rulemaking is labor-intensive and time-consuming due to the volume and diversity of responses. The AI system automates stance analysis and topic modeling to improve efficiency, accuracy, and insight in the review process.","The AI system can save significant time for CDC’s public policy experts by automating the categorization and stance analysis of public comments, enabling faster and more comprehensive insight gathering for regulatory analysis. This supports compliance with legal requirements and improves the quality of public policy review.","The system uses generative AI to analyze public comments, providing outputs such as stance (support/oppose/neutral), topics, and sentiment for each comment. These outputs aid regulatory analysts in reviewing and summarizing public feedback.",Jul-23,In-house Development,,No,,Public comments submitted in response to CDC’s proposed rules.,,No,,['k) None of the above'],Yes,,,,,,,,,,[]
HHS,Department of Health and Human Services,,A reusable NLP pipeline for clinical narratives preprocessing and characterization,HHS/CDC,hhs.caio@hhs.gov,No,Retired,Not High-impact,,,,,,,,,,,,,,,,[],,,,,,,,,,,[]
HHS,Department of Health and Human Services,,Autocoding to Support Adverse Drug Event Surveillance,HHS/CDC,hhs.caio@hhs.gov,No,Pilot,Not High-impact,,Admin Functions,Classical ML,Manual coding of adverse drug event reports is time-consuming and slows down the production of prevalence estimates. The AI model will automate and speed up the coding process for surveillance epidemiologists.,"The AI model will help epidemiologists quickly determine whether reported adverse drug events meet surveillance case definitions, speeding up the coding process and enabling faster, more accurate prevalence estimates for the surveillance system.","The model takes a de-identified free-text description of a patient's emergency department visit, along with other pre-coded variables, and outputs the probability that the encounter meets the surveillance case definition for an adverse drug event.",May-24,In-house Development,,No,,,,No,,['k) None of the above'],No,,,,,,,,,,[]
HHS,Department of Health and Human Services,,Automating LIMS Bioinformatics Workflow Configuration and Enhancing Lab Quality Management with AI,HHS/CDC,hhs.caio@hhs.gov,No,Pilot,Not High-impact,,Admin Functions,Generative AI,"Configuring and customizing bioinformatics workflows in Clarity LIMS is time-consuming and requires specialized expertise. The AI tool automates this process, enabling rapid deployment and lowering the barrier for laboratory staff. It also improves access to quality management and regulatory documentation.","The system can reduce the time required to configure Clarity LIMS workflows, enable rapid deployment during outbreaks, lower the expertise needed for workflow customization, and enhance team learning and training by providing easy access to relevant documentation and best practices.",The AI system converts natural language lab protocols into precise XML workflows compatible with Clarity LIMS and serves as an interactive knowledge base for laboratory quality management and regulatory documentation.,Jan-24,In-house Development,,No,,,,No,,['k) None of the above'],No,,,,,,,,,,[]
HHS,Department of Health and Human Services,,DGMH AI Chatbot,HHS/CDC,hhs.caio@hhs.gov,No,Pilot,Not High-impact,,Admin Functions,Generative AI,"Responding to inquiries is time-consuming for staff, especially when information is available but hard to find on public CDC webpages. The AI chatbot drafts initial responses using content from CDC’s website, reducing turnaround time and freeing staff to focus on higher-priority tasks.","The chatbot will reduce turnaround time for responding to inquiries, improve consistency of responses, and allow staff to focus on other priorities. Evaluation will assess response accuracy, completeness, and revision needs, as well as consistency across similar inquiries.",The AI chatbot generates an initial draft response to inquiries using content from CDC’s public-facing webpages. Each draft is reviewed and cleared through the existing CDC process before being sent.,Oct-24,In-house Development,,No,,Content from CDC’s public-facing webpages,,No,,['k) None of the above'],No,,,,,,,,,,[]
HHS,Department of Health and Human Services,,Distiller SR: AI to screen research articles for Community Guide reviews,HHS/CDC,hhs.caio@hhs.gov,No,Pilot,Not High-impact,,Admin Functions,Classical ML,"Screening research articles for systematic reviews is time-consuming. The AI tool will automate and speed up the process, supporting the Community Preventive Services Task Force in making timely recommendations.","The AI tool may increase the speed of conducting systematic reviews, expediting the evaluation of public health programs for CPSTF recommendations.",The AI system uses machine learning to efficiently screen and identify research articles relevant to evaluating the effectiveness of interventions.,May-23,In-house Development,,No,,,,No,,['k) None of the above'],No,,,,,,,,,,[]
HHS,Department of Health and Human Services,,Evaluating Generative AI for polio containment.,HHS/CDC,hhs.caio@hhs.gov,No,Retired,Not High-impact,,,,,,,,,,,,,,,,[],,,,,,,,,,,[]
HHS,Department of Health and Human Services,,Respiratory Virus Response (RVR) Data Analysis Concept,HHS/CDC,hhs.caio@hhs.gov,No,Pilot,Not High-impact,,Health and Medical,Generative AI,Summarizing subject matter expert (SME) interpretations and knowledge during a public health response is time-consuming. The AI aims to improve efficiency in knowledge dissemination by generating key takeaways from SME-provided information.,"The AI solution will improve the efficiency of disseminating essential information to the public, enable quicker SME review and clearance, and enhance understanding of AI limitations (e.g., bias, hallucinations) for future public health applications.","The AI generates summaries of bulleted SME information, producing key takeaways for review and clearance. The system will be evaluated for its ability to contextualize responses and improve tone and style in future iterations.",Jun-24,In-house Development,,No,,Bulleted SME information and uncleared data from the Respiratory Virus Response (RVR),,No,,['k) None of the above'],No,,,,,,,,,,[]
HHS,Department of Health and Human Services,,School LLM initial abstract review process,HHS/CDC,hhs.caio@hhs.gov,No,Pilot,Not High-impact,,Admin Functions,NLP,"Manual review and categorization of thousands of research abstracts related to school readiness science is time-consuming. The AI enables efficient extraction and categorization of themes, reducing human effort and time.","The AI allows for efficient categorization of thousands of abstracts in a much shorter time frame, with less human effort, and presents results in a user-friendly dashboard for health scientists to use in research and decision-making.","The AI uses an LLM to extract data from abstract reviews and categorize relevant themes and topics into a user-friendly dashboard, enabling users to pull resources from 2012–2022 for specific school closure outcomes or themes.",Aug-23,Contracting and In House,,No,,,,No,,['k) None of the above'],No,,,,,,,,,,[]
HHS,Department of Health and Human Services,,CDC Chatbot,HHS/CDC,hhs.caio@hhs.gov,No,Deployed,Not High-impact,,Admin Functions,Generative AI,"This tool is a general purpose assistant for CDC staff powered by Large Language Models. Staff can upload documents, summarize information, extract information, create content, develop software code, or general tasks to support operational efficiency.","Staff have used this tool to save an estimated 40,000 hours across various domains including efficiency gains with content creation, software development, and other back-of-the-house tasks within CDC. This has provided a greater than 500% ROI for the agency.",The system generates responses to staff questions in a general purpose manner including related to questions of uploaded documents. Staff may use the generated text in any manner they deem as appropriate.,Feb-24,Contracting and In House,,Yes,"EDAV (Enterprise Data, Analytics, and Visualization Platform)",,,No,,['k) None of the above'],No,,,,,,,,,,[]
HHS,Department of Health and Human Services,,EDAV Virtual Assistant - Eva ( Microbot Service) - Bot as a Service (BaaS),HHS/CDC,hhs.caio@hhs.gov,No,Deployed,Not High-impact,,Admin Functions,Generative AI,"This tools serves as a helpdesk to support CDC staff in finding relevant information related to the Enterprise Data, Analytics, and Visualization platform available across existing documentation.",Increased access for staff to documentation and decreased time spent searching for relevant information. This includes a reduction in number of support tickets from staff.,Staff will ask the chatbot questions related to various platform documentation. The AI use cases supplies back information including references and citations to the existing documentation for staff to go to.,Aug-25,Contracting and In House,,Yes,"EDAV (Enterprise Data, Analytics, and Visualization Platform)",,,No,,['k) None of the above'],No,,,,,,,,,,[]
HHS,Department of Health and Human Services,,EDAV Azure DataFactory - Pipeline failure Analysis,HHS/CDC,hhs.caio@hhs.gov,No,Deployed,Not High-impact,,Admin Functions,NLP,"There are over 4,000 pipelines which provide logs of their status. Manual review is highly time-consuming and error prone due to the scale of logs.",Benefits include improved quality of summaries of logs and additional information that is available faster than traditional manual processes.,Logs of the Data Factory pipelines and analysis of the various information from the data pipelines including recommended next steps to support staff in solving potential challenges maintaining these data pipelines.,Jul-25,Contracting and In House,,Yes,"EDAV (Enterprise Data, Analytics, and Visualization Platform)",,,No,,['k) None of the above'],No,,,,,,,,,,[]
HHS,Department of Health and Human Services,,1CDP (SEDRIC) AIP for Advanced Foodborne Outbreak Investigation (AI Summarization and Receipt Reading),HHS/CDC,hhs.caio@hhs.gov,No,Deployed,Not High-impact,,Emergency Mgmt,NLP,"This AI solution impacts the process of investigating foodborne disease outbreaks. These foodborne outbreaks require cooperative efforts from CDC staff, FDA, USDA, and local agencies and the AI system is used through a centralized data platform System for Enteric Disease Response, Investigation, and Coordination (also known as SEDRIC). For more information on SEDRIC, please go to our website: https://www.cdc.gov/foodborne-outbreaks/php/foodsafety/tools/index.html","SEDRIC's AIP use case provides CDC epidemiologists the ability to accelerate their investigations of multi-state foodborne disease outbreaks by more effectively leveraging data available in a rich data source, such as receipts from grocery stores, that otherwise requires extensive time and human effort to parse through. In addition, this workflow would free up epidemiologists' time and, potentially, increase the frequency with which both CDC and STLT partners could utilize shopper card, receipts, and free text responses to support investigations. There are two main expected benefits from this use case. The first addresses manually entering receipt information, shopper card information, or other such free text field is traditionally error prone and time intensive for a variety of information. This AI system provides a human-in-the-loop opportunity to review and update data entry points while reducing time spent by staff to gain these insights. Having a set structured output as well increased standardization of this information and eases reporting in situations requiring cooperation from multiple organizations. The second benefit revolves around using the summarization capability, the extensive process of mapping common names of different food items is done automatically, greatly reducing the human labor time to generate dashboards of information regarding current foodborne investigations to serve as a decision point to aid in outbreak response.","The Artificial Intelligence Platform (AIP) available within SEDRIC provides CDC epidemiologists the power to accelerate their investigations of multi-state foodborne disease outbreaks. It can extract structured data from grocery receipts, shopper card records, and free-text responses in order to catalog the food items purchased by affected patients. It can also map those items to SEDRIC-defined vehicles which categorize the items and highlight commonalities across patients, helping to pinpoint potential outbreak vehicles. AIP can summarize these results to provide insights from information pulled from shopper receipts. Given ingredients can be found in multiple food products, and some ingredients such as herbs like coriander/cilantro may go by multiple names or be reported in multiple languages, this summarization tool provides a faster way to gather summary information from receipts on different food items which may be part of a foodborne investigation.",Oct-23,Contracting and In House,Palantir Technologies,Yes,1 CDC Data Platform (1CDP),"Data are used in outbreak/response scenarios, such as foodborne illness outbreak response. Data used is dependent on the situation and outbreak, and may be owned by CDC, FDA, USDA, State Health Departments, Tribal Health Departments, Local Health Departments, Territorial Health Departments, or other entities.",,No,,['k) None of the above'],Yes,,,,,,,,,,[]
HHS,Department of Health and Human Services,,Genetic distance computation method for comparing complex multi-locus parasite (Cyclospora) genotypes,HHS/CDC,hhs.caio@hhs.gov,No,Deployed,Not High-impact,,Health and Medical,Classical ML,"Investigating the similarity of infections for epidemiologic investigations of cyclosporiasis outbreaks. The method enables clustering and comparison of complex genotypes, which are too large and complex for traditional methods, to identify related infections during outbreak tracking.","The AI enables analysis of massive genotype datasets, facilitating rapid and accurate identification of infection clusters. This supports epidemiologic investigations and traceback for cyclosporiasis and other parasites, improving outbreak response and public health interventions.","The system outputs genetic distance matrices and clusters of closely related infections, based on comparisons of haplotypes from clinical samples. These outputs are used to complement epidemiologic investigations and traceback activities.",Sep-19,In-house Development,,Yes,AMD (Advanced Molecular Detection Scientific Computing Platform),"Cyclospora sequence data generated by CDC, State Public Health Labs, and the Public Health Agency of Canada, following a CDC-developed protocol for 8 genotyping markers. All CDC and State Public Health Labs sequence data are publicly available via NCBI (see below).",,No,,['k) None of the above'],Yes,,,,,,,,,,[]
HHS,Department of Health and Human Services,,MedCoder - Coding literal text cause of death information reported on death certificates to ICD-10,HHS/CDC,hhs.caio@hhs.gov,No,Deployed,Not High-impact,,Health and Medical,NLP,"Automating the coding of literal text causes of death from death certificates to ICD-10 codes, improving accuracy, efficiency, and timeliness of mortality data for public health surveillance.","MedCoder increased the percentage of deaths that can be automatically and accurately coded from 70-75% to over 85%, resulting in substantial cost savings (hundreds of thousands of dollars) and significantly enhancing the timeliness of data for urgent public health concerns (e.g., COVID, drug overdose deaths), enabling near real-time surveillance.",MedCoder outputs ICD-10 cause of death codes from literal text on death certificates. It also flags complex or frequently miscoded cases for manual review. The system uses NLP to cleanse and standardize input text before coding.,Jun-22,In-house Development,,Yes,National Vital Statistics System (NVSS),"Death certificate literal text data, including cause of death statements, and associated demographic information such as sex. Documentation for model training and evaluation data is widely available.",,No,,['b) Sex'],Yes,,,,,,,,,,[]
HHS,Department of Health and Human Services,,NCIRD SmartFind ChatBots - Public and Internal,HHS/CDC,hhs.caio@hhs.gov,No,Deployed,Not High-impact,,Admin Functions,NLP,"Improving efficiency and effectiveness of internal partner mailbox email management and knowledge base maintenance for program staff, and previously, providing public-facing answers to FAQs.","The internal Knowledge-Bot’s SharePoint component helps program staff manage partner emails more efficiently and effectively, enabling shared knowledge base use across mailbox managers. The public-facing chatbots previously provided timely, agency-cleared answers to public and partner questions, supporting rapid information dissemination during the COVID-19 pandemic.",Conversational ChatBots that analyze free text questions and provide agency-cleared answers that best match the question. The system also flags complex or unanswerable queries for manual review.,Dec-24,Contracting and In House,,Yes,Microsoft,Public-facing FAQs and other agency-reviewed information accessible publicly were used as the knowledge base for the public-facing chatbots. Internal chatbot uses internal knowledge base content.,,No,,['k) None of the above'],Yes,,,,,,,,,,[]
HHS,Department of Health and Human Services,,NIOSH Industry and Occupation Computerized Coding System (NIOCCS),HHS/CDC,hhs.caio@hhs.gov,No,Deployed,Not High-impact,,Admin Functions,Classical ML,"Replacing manual coding of industry and occupation text with automated coding to standardized codes, reducing cost and increasing speed, accuracy, and consistency for research and analysis.","Reduces the high cost of manual coding, promotes increased coding speed, accuracy, and consistency, and enables more efficient use of industry and occupation data for research and analysis.","Standardized industry and occupation codes generated from free-text input, suitable for research and analysis.",Jan-24,In-house Development,,Yes,Modernization Platform NIOSH (MPN),STLT's death record data (received via NCHS) and BRFSS survey data.,,No,,['k) None of the above'],Yes,,,,,,,,,,[]
HHS,Department of Health and Human Services,,Nowcasting Injury Trends,HHS/CDC,hhs.caio@hhs.gov,No,Deployed,Not High-impact,,Health and Medical,Classical ML,"Providing real-time estimates of injury and death trends to enhance situational awareness and expedite surveillance and research activities, especially when gold standard data are delayed.","Enables timelier identification and investigation of emerging injury trends, improving the speed and effectiveness of public health surveillance and response when gold standard data are not yet available.","An internal-facing, interactive dashboard that provides week-to-week national nowcasts of injury death trends, using multiple traditional and non-traditional datasets and a multi-stage machine learning pipeline.",Jan-22,In-house Development,,Yes,EDAV (Enterprise Data Analytics and Visualization Platform),Emergency Department data from the National Syndromic Surveillance Program.,,No,,['k) None of the above'],Yes,,,,,,,,,,[]
HHS,Department of Health and Human Services,,Risk Assessment Module (RAM) for the National Diabetes Prevention Program (National DPP) Operations Center.,HHS/CDC,hhs.caio@hhs.gov,No,Deployed,Not High-impact,,Admin Functions,Classical ML,"To assist in determining if an organization participating in the National DPP is at risk of improperly starting, going inactive, or not achieving necessary goals for continued participation in CDC’s Diabetes Prevention Recognition Program.","The RAM module helps program managers synthesize large amounts of organization-level data to make informed decisions on assisting organizations, leading to increased program participation and improved health outcomes.","The RAM is a reporting tool that ingests organization-level data (including participant enrollment, demographics, and risk factors) to generate a ranked list of organizations at highest risk of failing to meet program objectives. Outputs are currently restricted to CDC associates, with plans for future access by State Quality Specialist users.",Aug-24,Contracting and In House,,Yes,DDT DPRP Portal,"Historical data from organizations’ 6-month submissions of participant attendance in Lifestyle change classes, sourced from the DDT DPRP Portal.",,No,,['k) None of the above'],Yes,,,,,,,,,,[]
HHS,Department of Health and Human Services,,Semi-Automated Nonresponse Detection for Surveys (SANDS),HHS/CDC,hhs.caio@hhs.gov,No,Deployed,Not High-impact,,Health and Medical,NLP,"Manual review of open-ended survey responses is labor-intensive and cost-prohibitive at scale. SANDS automates the detection of nonresponses in survey data, reducing the burden on researchers and improving data quality.",SANDS significantly reduces manual curation time for open-ended survey responses by providing automated scoring and flagging of nonresponses. This enables faster compilation of high-quality datasets for qualitative research and streamlines the review process for researchers.,"The system outputs scores for open-ended survey responses, identifying likely nonresponses and flagging responses that require further review. This helps improve survey data quality and informs questionnaire design.",Sep-22,In-house Development,,No,,"3,000 labeled open-ended responses to web probes on questions relating to the COVID-19 pandemic, gathered from the Research and Development Survey (RANDS) conducted by the Division of Research and Methodology at the National Center for Health Statistics.",,Yes,,['k) None of the above'],Yes,https://huggingface.co/NCHS/SANDS,,,,,,,,,[]
HHS,Department of Health and Human Services,,Sequential Coverage Algorithm (SCA) and partial Expectation-Maximization (EM) estimation in Record Linkage,HHS/CDC,hhs.caio@hhs.gov,No,Deployed,Not High-impact,,Health and Medical,Classical ML,"To improve the accuracy and efficiency of record linkage in CDC’s National Center for Health Statistics (NCHS) Data Linkage Program, particularly for large datasets, by automating the development and selection of blocking groups and reducing manual effort.","Increased accuracy and efficiency in data linkage 

Automation reduces manual effort and increases scalability 

Machine learning algorithms adapt and improve over time, refining linkage processes 

Enables researchers to better examine factors influencing disability, chronic disease, health care utilization, morbidity, and mortality","Development of joining methods (blocking groups) for large datasets 

Estimation of the proportion of matched pairs within each block 

Improved linkage accuracy and efficiency",Aug-20,Contracting and In House,,Yes,Consolidated Statistical Platform,"Data from the National Hospital Care Survey, the National Health and Nutrition Examination Survey, the National Health Interview Survey, and linked administrative data.",,Yes,,['b) Sex'],Yes,,,,,,,,,,[]
HHS,Department of Health and Human Services,,TowerScout: Automated cooling tower detection from aerial imagery for Legionnaires' Disease outbreak investigation,HHS/CDC,hhs.caio@hhs.gov,No,Deployed,Not High-impact,,Health and Medical,Computer Vision,"Rapid identification of cooling towers that could potentially be spreading Legionella bacteria during outbreaks, enabling faster and more efficient outbreak response.",Detects cooling towers approximately 600 times faster than manual searches. Enables more efficient and timely response during Legionella outbreaks. Improves public health response and outbreak containment.,Detection and classification of cooling towers within aerial imagery.,May-21,Contracting and In House,,Yes,EDAV (Enterprise Data Analytics and Visualization Platform),Aerial imagery data used for object detection and image classification.,,No,,['k) None of the above'],Yes,https://github.com/TowerScout/TowerScout,,,,,,,,,[]
HHS,Department of Health and Human Services,,Assessing Large Language Models for Synthetic Survey Data Generation,HHS/CDC,hhs.caio@hhs.gov,No,Pre-deployment,Not High-impact,,Science,Generative AI,"Survey data de-identification is crucial for the NCHS to maximize data utility while protecting privacy, but determining and applying modern best practices requires further research. 

NCHS conducts national surveys and releases microdata (data containing information about individuals) for public use. To protect survey participants’ confidentiality, statistical disclosure limitation techniques have been used to de-identify data, but these methods have drawbacks of losing statistical properties of the original data and thus limiting useful analyses. Additionally, these methods are not designed for very large data or text data. 

Use of synthetic data may offer another option. The goal of synthetic data is to preserve essential statistical features and variable relationships of the original data such that statistical inference based on the synthetic data is close to that of the original data. 

Large language models (LLMs) may be able to address limitations of statistical methods for synthetic data creation, especially for natural language data. We aim to advance knowledge of this application of LLMs to enable staff to select the optimal tools for synthetic data generation.","Current statistical methods for synthetic data generation have drawbacks such as difficulty handling very large datasets, steep learning curve for people with less statistics or coding background, and inability to generate natural language data. 

Thus, if LLMs are evaluated to be successful at synthetic survey data generation, this alternative method would enable more data synthesis at scale, more data synthesis that can be conducted by staff with various levels of statistics backgrounds, and the first ever release of synthetic survey text data.","Continuous, categorical, and free text data that matches properties of original survey data.",,,,,,,,,,[],,,,,,,,,,,[]
