Use Case Name,Bureau/Component,Email Address,Should this AI use case be withheld from public reporting?,Stage of Development,Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency�s mission and/or the general public?,Describe the AI system�s outputs.,Date when AI use case became operational or the pilot�s start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to train, fine-tune, and/or evaluate performance of the model(s) used in this use case.","If the data is required to be publicly disclosed as an open government data asset, provide a link to the entry on the Federal Data Catalog.",Does this AI use case involve personally identifiable information (PII) that is maintained by the agency?,"If publicly available, provide the link to the AI use case�s associated Privacy Impact Assessment (PIA).","Which, if any, demographic variables does the AI use case explicitly use as model features?",Does this project include custom-developed code?,"If the code is open source, provide the link for the publicly available source code.","Has pre-deployment testing been conducted for this AI use case?
Practice: Complete AI Impact Assessment","Has an AI impact assessment been completed for this AI use case?
Practice: Complete AI Impact Assessment","What are the potential impacts of using the AI for this particular use case and how were they identified?
Subpractice: Complete AI Impact Assessment","Has as independent review of the AI use case been conducted?
Sub practice Complete AI Impact Assessment","Is there a process to conduct
ongoing monitoring to
identify any adverse impacts
to the performance and
security of the AI functionality, as well as to privacy, civil rights, and civil liberties?
Practice: Conduct Ongoing Monitoring for Performance and Potential Adverse Impacts","Has the agency established sufficient and periodic training for operators of the AI to interpret and act on the its output and managed associated risks?
Practice: Ensure Adequate Human Training and Assessment","Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?
Practice: Provide Additional Human Oversight, Intervention, and Accountability","Is there an established appeal process in the event that an impacted individual would like to appeal or contest the AI system�s outcome?
Practice: Offer Consistent Remedies or Appeals","What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?
Practice: Consult and Incorporate Feedback from End Users and the Public"
Creating a development network,HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Health & Medical,Natural Language Processing (NLP),"The AI is intended to solve the problem of inconsistent data formats and inefficient access to unstructured clinical data across multiple healthcare sites. It aims to standardize EHR and claims data conversion into the Sentinel Common Data Model and develop processes for storing and extracting metadata from free text notes to enable timely execution of future Sentinel surveillance tasks.
","Methods project applying Natural Language Processing (NLP) to extract data from clinical notes to use in pharmacoepidemiology studies, improving FDA's ability to monitor drug safety using real-world healthcare data.",Creates a network of organizations that can support development of algorithms and use of AI tools such as Natural Language Processing (NLP).,Dec-22,c) Developed with both contracting and in-house resources,Contractor teams,Yes,Sentinel ,Electronic Health Record (EHR),N/A, No,N/A,k) None of the above,Yes,N/A, ,,,,,,,,
Developing an Objective and Quantitative Endpoint for Atopic Dermatitis in Pediatric and Adult Populations,HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,b) Presumed high-impact but determined not high-impact,"The purpose of this study is to validate the Emerald technology to see if it accurately detects the motion of an individual scratching. The act of scratching would not be considered to have a significant effect on human health and safety, which means this study is not a high-impact AI use case based on the definition in OMB M-25-21.",Health & Medical,Classical/Predictive Machine Learning,"Intended to solve the problem of lacking objective, quantitative methods to assess nocturnal scratching in children with atopic dermatitis. It aims to create a digital endpoint that can accurately measure scratching behavior to evaluate the efficacy and performance of FDA-regulated treatments for atopic dermatitis and pruritus, addressing an unmet need in clinical assessment.
","To advance novel endpoints in drug development, potentially leading to better ways to measure treatment effectiveness for skin conditions affecting children and adults.","A digital endpoint that can accurately measure scratching behavior to evaluate the efficacy and performance of FDA-regulated treatments for atopic dermatitis and pruritus, addressing an unmet need in clinical assessment.",Jan-25,a)�Purchased from a vendor,Emerald Innovations, No,,The validation data is being collected as part of the study.,N/A, No,N/A,k) None of the above,Yes,N/A, ,,,,,,,,
Drug Shortage Predictive Model,HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,b) Pilot � The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Health & Medical,Classical/Predictive Machine Learning,"Drug shortages have increased significantly since 2017 and worsened during COVID-19, creating critical gaps in patient access to essential medications. FDA seeks to develop predictive capabilities to anticipate shortages before they occur.","Help with prevention and mitigation of drug shortages by signaling early risks to a supply chain, potentially ensuring patients maintain access to essential medications.",Prediction of supply events for all CDER regulated application products in the next 12 months,May-24,b) Developed in-house,,Yes,N/A,"CDER data on submissions, drug shortages, compliance, reviews. External data on sales dollars and volume and product information. ",N/A, No,N/A,k) None of the above,Yes,N/A, ,,,,,,,,
Category Subcategory Classification - Safety Reports Bot,HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Health & Medical,Other ,Manual analysis and data entry of safety report submissions is time-intensive and requires staff to review scanned PDFs and determine appropriate categories.,"Potentially reduces manual labor in processing safety report submissions, allowing FDA staff to focus on safety analysis and regulatory decision-making rather than data entry tasks.",To predict cat/subcat from IND submissions through the rule setup. ,May-24,c) Developed with both contracting and in-house resources,Deloitte,Yes,Data Services Automation,Applicant submissions,N/A, No,N/A,k) None of the above,Yes,N/A, ,,,,,,,,
Data Extraction from IND Safety Reports using OCR/AI Technologies ,HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Information Technology,Natural Language Processing (NLP),Manual extraction of data from IND safety reports is labor-intensive and time-consuming for regulatory staff.,"Expedited processing of Investigational New Drug (IND) Safety Reports received by the Agency, enabling more rapid regulatory action in response to reported adverse events and better protection of clinical trial participants.","Using ThinkTrends, a COTS tool, extracted data is converted into E2B(R2) format for automatic ingestion into FAERS LSMV",Mar-25,a)�Purchased from a vendor,ThinkTrends,Yes,FAERS,MedWatch 3500 forms and intake system processing logic,N/A, No,N/A,k) None of the above, No,N/A, ,,,,,,,,
AI Editing Tool,HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,b) Pilot � The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Administrative Functions,Generative AI,This AI model is designed to detect style and formatting inconsistencies in FDA draft documents by comparing them against the FDA CDER Style Guide standards. It solves the problem of manual quality control inefficiencies and ensures consistent adherence to established documentation standards across all FDA CDER publications.,"It significantly reduces the workload for FDA editors by identifying style and formatting issues; however, human review remains essential, especially for important documents, ensuring both efficiency and quality in FDA communications.",AI-identified style and formatting issues,Mar-25,b) Developed in-house,, No,,CDER Style Guide,CDER Style Guide, No,N/A,k) None of the above, No,N/A, ,,,,,,,,
Use case package 1: Empirical application of the Sentinel EHR and claims Data Partner network to address ARIA insufficient inferential requests (UC1),HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Health & Medical,Natural Language Processing (NLP),This AI project is designed to solve the problem of determining whether available data sources and analytical methods are suitable for specific pharmacoepidemiologic research questions. It aims to systematically evaluate data fitness-for-purpose and identify viable use cases where protocol-based studies can reliably assess drug safety and effectiveness in real-world populations.,"Improved capture of unstructured Electronic Health Record (EHR) data for drug safety studies, enabling FDA to better assess medication safety and effectiveness using real-world healthcare information.",Natural Language Processing (NLP) for Electronic Health Record (EHR) unstructured data extraction,Sep-23,c) Developed with both contracting and in-house resources,In-house (CDER staff) and contractor teams,Yes,Sentinel ,Claims-Electronic Health Record (EHR),N/A, No,N/A,k) None of the above,Yes,N/A, ,,,,,,,,
CI5: Development and refinement of toolkits for routine use in the EHR and claims Data Partner network,HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Health & Medical,Natural Language Processing (NLP),"This project is designed to solve the problem of inconsistent or inefficient data analysis capabilities across the EHR and claims Data Partner network. It aims to create standardized, reliable analytical tools that can be routinely deployed across different data partners to improve the consistency, quality, and efficiency of pharmacoepidemiologic analyses within the Sentinel System.","improved confounding control when using Electronic Health Record (EHR) data for drug safety studies, leading to more reliable conclusions about medication risks and benefits in real-world populations.","Regularized machine learning tools (e.g., Least Absolute Shrinkage and Selection Operator (LASSO)-based models) combined with targeted learning methods for improved large-scale covariate adjustment",Sep-23,c) Developed with both contracting and in-house resources,Contractor teams,Yes,Sentinel ,Electronic Health Record (EHR) Data Elements,N/A, No,N/A,k) None of the above,Yes,N/A, ,,,,,,,,
Use case package 2 (UC2): Empirical application of the Sentinel EHR and claims Data Partner network to enhance ARIA insufficient inferential requests and atypical descriptive requests,HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Health & Medical,Natural Language Processing (NLP),"This AI project is designed to solve the problem of translating theoretical innovative methods into practical, real-world applications within the Innovation Center (IC) development network. It aims to create concrete, evidence-based examples that demonstrate how new technologies and approaches can be effectively implemented to address specific pharmacoepidemiologic and drug safety surveillance challenges.","Developing advanced methods including machine learning to address incomplete information in drug safety studies, validating health outcome algorithms using Natural Language Processing (NLP)-assisted chart review, and applying NLP to analyze cannabis-derived product exposures in electronic health records, ultimately improving FDA's drug safety surveillance capabilities.",EHR data elements; EHR-linked to claims data,Sep-23,c) Developed with both contracting and in-house resources,Contractor teams,Yes,Sentinel ,EHR data elements; EHR-linked to claims data,N/A, No,N/A,k) None of the above,Yes,N/A, ,,,,,,,,
FE5: Incorporate a range of frequently used engineering features from EHRs into the Sentinel common data model in the Sentinel EHR and claims linked Data Partner network ,HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Health & Medical,Natural Language Processing (NLP),"This AI project is designed to solve the problem of extracting valuable clinical information trapped in unstructured free-text fields within electronic health records. It aims to create a systematic feature engineering approach that can convert narrative clinical notes and text data into structured, analyzable formats for pharmacoepidemiologic research and drug safety surveillance.","Supports the use of Natural Language Processing (NLP) to extract information on five specific medical concepts from Electronic Health Record (EHR) data and make available in the Sentinel Common Data Model for future drug safety studies, enhancing FDA's surveillance capabilities.",NLP for EHR unstructured data extraction,Sep-23,c) Developed with both contracting and in-house resources,Contractor teams,Yes,Sentinel ,Free-text data from the commercial and development network EHR-claims ,N/A, No,N/A,k) None of the above,Yes,N/A, ,,,,,,,,
Develop an empirical algorithm to automate negative control identification in Sentinel System using the �Data-driven Automated Negative Control Estimation (DANCE)� algorithm,HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Health & Medical,Natural Language Processing (NLP),"This AI project is designed to solve the problem of optimizing the Data-driven Automated Negative Control Estimation (DANCE) algorithm for real-world implementation in large electronic healthcare database studies. It aims to use plasmode simulation to refine the algorithm's performance and then validate the tailored approach through a multisite test case focused on safety endpoint detection, ensuring the method works effectively across different healthcare data environments.","Supports the use of plasmode simulation to evaluate and tailor implementation of DANCE in settings relevant to large electronic healthcare database studies and to apply the tailored DANCE algorithm to a test case incorporating a safety endpoint in a multisite implementation, improving FDA's ability to detect drug safety signals.",Electronic Health Record (EHR) data,Mar-24,c) Developed with both contracting and in-house resources,Contractor teams,Yes,Sentinel ,Electronic Health Record (EHR),N/A, No,N/A,k) None of the above,Yes,N/A, ,,,,,,,,
"Support tools that can be used in conjunction with Electronic Health Record (EHR) data, such as machine learning and natural language processing (NLP), and the use of Artificial Intelligence (AI) chart review tools",HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Health & Medical,Natural Language Processing (NLP),This AI project is designed to solve the problem of rapidly responding to urgent or emerging drug safety signals that require immediate attention and coordinated action. It aims to leverage key expertise and resources at the Sentinel Operations Center to quickly address time-sensitive safety concerns that may pose risks to public health.,"Supports using AI tools to help with medical chart review for emerging safety needs, enabling faster response to urgent drug safety concerns that require immediate attention to protect public health.",Electronic Health Record (EHR) data,Oct-24,c) Developed with both contracting and in-house resources,Contractor teams,Yes,Sentinel ,Electronic Health Record (EHR),N/A, No,N/A,k) None of the above,Yes,N/A, ,,,,,,,,
Sentinel System Task Order to address an Emerging Safety Need ,HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Health & Medical,Natural Language Processing (NLP),"This AI project is designed to solve the problem of efficiently validating emerging safety signals through chart review when traditional structured data is insufficient. It aims to use NLP-supported tools to extract and analyze information from unstructured clinical notes, enabling faster and more comprehensive chart abstraction and adjudication processes for urgent safety investigations.","This allows FDA to apply Natural Language Processing (NLP) capabilities to extract data from Electronic Health Records (EHRs) as needed to address regulatory gaps around emerging safety needs, enabling faster response to potential drug safety concerns.",Claims and EHR data,Apr-24,c) Developed with both contracting and in-house resources,Contractor teams,Yes,Sentinel ,Claims and Electronic Health Record (EHR),N/A, No,N/A,k) None of the above,Yes,N/A, ,,,,,,,,
FOIA REDACTION (FRED) TOOL,HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,b) Presumed high-impact but determined not high-impact,"FRED should not be considered a high-impact AI use case because:
a. It operates as a recommendation system only, with mandatory human review and approval required for all outputs.
b. No automated decisions are made - humans retain full control over all redaction decisions.
c. It serves as an assistive tool to improve efficiency while maintaining human oversight and accountability for all FOIA compliance decisions.",Health & Medical,Generative AI,"�FRED is designed to support FOIA staff in redacting records more efficiently and consistently. FOIA redaction can be a time-consuming process and experience large back-logs of requested documents. It aims to use AI to analyze, identify, and generate predictions of text for redaction, thereby improving the efficiency of FOIA response processing.","More efficient releases of documents in response to FOIA requests, reduction in back-logs, helping ensure public access to government information while protecting sensitive data appropriately.",FRED produces a PDF with boxes around text that it recommends for redaction along with comments for the redaction code,May-25,c) Developed with both contracting and in-house resources,Contractor teams,Yes,Elsa,Completed 483 forms before redaction and versions of those forms after redaction by FDA staff,N/A,Yes,N/A,k) None of the above,Yes,N/A, ,,,,,,,,
AI for Regulatory Review (AIRR) Pilot,HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,b) Pilot � The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Health & Medical,Generative AI,"The AI-assisted regulatory review paradigm addresses the inefficiency and administrative burden of manually searching through vast amounts of disconnected sponsor-submitted and FDA-generated documents by integrating three components: AI-powered prompt engineering for streamlined workflows, real-time regulatory data retrieval systems, and automated document formatting capabilities that maintain human oversight while significantly enhancing review efficiency and consistency.","Enables faster and more efficient regulatory reviews by reducing time spent on document searching and information gathering, allowing FDA reviewers to focus on scientific analysis and decision-making. Maintains high review quality while improving consistency across review teams and reducing administrative burden on expert reviewers.",Preliminary administrative or review summary (available in Word format) for reviewers' verification and refinement,May-25,c) Developed with both contracting and in-house resources,In-house (CDER staff) and contractor teams,Yes,N/A,"No FDA data were used to train, fine-tune or evaluate",N/A, No,N/A,k) None of the above, No,N/A, ,,,,,,,,
AI-assisted Platform for Clinical Pharmacology Review,HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Health & Medical,Generative AI,"The AI solution addresses inefficiency in the clinical pharmacology review process by reducing time reviewers spend on routine tasks, allowing them to focus their expertise on complex scientific analysis and decision-making that truly requires their specialized knowledge.","The AI integration is expected to enhance agency efficiency by optimizing reviewer time allocation, allowing them to focus on high-value tasks requiring specialized expertise. This leads to improved productivity, reduced delays, and enhanced overall performance. For the public, this translates to more timely and higher quality regulatory reviews of new medications.","AI assisted answers to list of tasks in selected task groups for clinical pharmacology review, including supporting information helping reviewers to identify the source of information from original documents.",,,,,,,,,,,,, ,,,,,,,,
CoreDF,HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,b) Pilot � The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Other ,"Current nonclinical review processes require manual extraction and analysis of sponsor findings from lengthy PDF study reports, creating inefficiencies in data quality assessment and regulatory timeline.","Expedites nonclinical review by extracting and organizing key safety findings from study reports, allowing FDA reviewers to focus on scientific evaluation and safety assessment rather than manual data extraction.",Sponsor findings from non-clinical study reports,May-25,c) Developed with both contracting and in-house resources,IBM,Yes,CoreDF,non-clinical study reports (PDFs),n/a, No,n/a,k) None of the above,Yes,N/A, ,,,,,,,,
AI for Bioanalytical Study Risk Assessment and Inspection Readiness,HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,b) Pilot � The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Health & Medical,Generative AI,Challenges in assessing large amounts of analytical/bioanalytical study information for risk assessment and inspection preparation in a short period of time,"Efficient and thorough review of bioanalytical portions of pivotal studies, enabling risk assessors and reviewers to identify and address potential issues. This benefit promotes public health by ensuring the welfare of study subjects, and helping the office verify the quality, study integrity, and regulatory compliance of Bioavailability/Bioequivalence (BA/BE) studies supporting CDER-regulated drugs.","Summary including reanalysis, deviations from method SOPs or protocols, inconsistencies or gaps in data reporting, deviations from data acceptance criteria, and deviations from the method validation; description of potential impact on study outcome. Outputs are verified by FDA staff.",Jun-25,b) Developed in-house,,Yes,Elsa,"No FDA data were used to train, fine-tune or evaluate",n/a, No,n/a,k) None of the above, No,n/a, ,,,,,,,,
AI for Clinical Study Risk Assessment and Inspection Preparation,HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,b) Pilot � The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Health & Medical,Generative AI,Challenges in assessing large amounts of clinical study information for risk assessment and inspection planning in a short period of time,"Efficient and thorough review of clinical portions of pivotal studies, enabling risk assessors and reviewers to identify and address potential issues. This benefit promotes public health by protecting study subjects, and by helping the office verify the quality, study integrity, and regulatory compliance of Bioavailability/Bioequivalence (BA/BE) studies supporting CDER-regulated drugs.","Summary including any inconsistencies, discrepancies, missing information, protocol deviations, unforeseen circumstances, unexpected adverse events, severe or serious adverse events, and modifications to processes or procedures; description of potential impact on study outcome. Outputs are verified by FDA staff.",Jun-25,b) Developed in-house,,Yes,Elsa,"No FDA data were used to train, fine-tune or evaluate",n/a, No,n/a,k) None of the above, No,n/a, ,,,,,,,,
AI for Assessing Bioanalytical Study Conduct Alignment with Guidance and Method SOPs,HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,b) Pilot � The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Health & Medical,Generative AI,"Cross-comparing large amounts of bioanalytical data (reports, validation, tabulated data) with the M10 guidance and aligned method Standard Operating Procedures (SOPs) to identify all possible study conduct issues.","Expedited identification of bioanalytical study conduct issues through efficient cross-comparisons between the M10 guidance, method Standard Operating Procedures (SOPs), and bioanalytical study reports/data before and during inspections, helping ensure data quality and regulatory compliance.","Organized summary of bioanalytical study conduct deviations from M10 principles, regulations, and method SOPs, followed by a summary of potential study impact. Outputs are verified by FDA staff.",Jan-25,b) Developed in-house,,Yes,Elsa,"No FDA data were used to train, fine-tune or evaluate",n/a, No,n/a,k) None of the above, No,n/a, ,,,,,,,,
SCANS Facility Role Predictor,HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Administrative Functions,Natural Language Processing (NLP),�The AI was used to identify facilities that are either Active Pharmaceutical Ingredient (API) or Finished Dosage Form (FDF) manufacturers that were either missed or misclassified in regulatory tracking systems.,"Successfully identified previously missed facilities without manually reviewing documents, improving FDA's ability to maintain comprehensive oversight of the drug manufacturing supply chain","The output is a classification of Non-manufacturer, API, FDF, or API\FDF",Jul-24,b) Developed in-house,, No,,"We used 356H documents, which are vendor submitted documents describing facilities used in the production of a drug product.",N/A, No,N/A,k) None of the above,Yes,N/A, ,,,,,,,,
"Renamed: Document Room Submission AI-Assisted Categorization
Previously: Document Room Submission Auto-categorization",HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Health & Medical,Generative AI,"Current document room submission categorization process is very manual and costly, impacting end-to-end regulatory review acceleration by creating bottlenecks, increasing processing times, and reducing overall efficiency in the review workflow.","This process enhancement optimizes resource allocation by freeing up personnel for higher-value scientific review activities, improves regulatory predictability for industry sponsors through standardized processing, and strengthens FDA's ability to respond effectively to public health priorities while maintaining comprehensive audit trails and compliance standards.",Submission category and subcategory as well as submission metadata,,,,,,,,,,,,, ,,,,,,,,
"Renamed: AI-Assisted Drug Review Letter Drafting
Previously: Drug Review Letter Generation using GenAI",HHS/FDA/CDER,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Health & Medical,Generative AI,"This approach to AI-assisted document drafting provides faster implementation with minimal technical requirements, future-proofs document generation capabilities, reduces ongoing maintenance costs, and eliminates technical complexity by replacing code-heavy solutions with dynamic AI prompts.","This approach to AI-assisted document drafting provides faster implementation with minimal technical requirements, future-proofs document generation capabilities, reduces ongoing maintenance costs, and eliminates technical complexity by replacing code-heavy solutions with dynamic AI prompts.",Document content that can be easily embedded either in a PDF/Word document or be shared in an email.,,,,,,,,,,,,, ,,,,,,,,
Medical Data Enterprise Artificial Intelligence (MDE AI),HHS/FDA/CDRH,hhs.caio@hhs.gov,a) No,b) Pilot � The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Health & Medical,Generative AI,Create efficiencies in the regulatory review processes for medical devices; reduce administrative burden to staff and allow them to focus their expertise on scientific and clinical work and not administrative processes,Improved efficiency in the administrative overhead of regulatory review workflows,"Outputs support regulatory review and include deficiency text adherence to 4PH, insights to support premarket review, data integrity concerns, signal alerts, etc.",Sep-23,b) Developed in-house,,Yes,CEDh,Labeled data sets of FDA-specific premarket and postmarket data,N/A, No,N/A,k) None of the above,Yes,N/A, ,,,,,,,,
COMET (Consult Memo Assistant),HHS/FDA/CDRH,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Other,Generative AI,Efficiency of the premarket regulatory review,Improved efficiency in regulatory review workflows using advanced AI tools to leverage institutional knowledge in specific product areas,AI assisted review process analysis with suggested deficiencies,,,,,,,,,,,,, ,,,,,,,,
Food AI Decision Engine (FAIDE),HHS/FDA/HFP,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Health & Medical,Classical/Predictive Machine Learning,Prioritize limited regulatory resources and maximize public health protection. ,Reduced regulatory burden on establishments with a lower probability of being violative or causing public health harm; more efficient and effective regulatory oversight.,"Probability of being violative per the model's classifier, and whether that probability is above the model's recommended threshold (optimizing sensitivity and specificity).",Aug-23,b) Developed in-house,,Yes,Food AI Decision Engine,"Internal FDA sample and inspection data, third-party purchased and open-source data.",, No,,k) None of the above,Yes,, ,,,,,,,,
Warp Intelligent Learning Engine (WILEE),HHS/FDA/HFP,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Health & Medical,Classical/Predictive Machine Learning,Identify emerging chemical signals and violative food substances by analyzing a large data set in a fraction of the time that it would have taken scientific reviewers to analyze the publications. ,"By enhancing signal detection and chemical hazard forecasting capabilities, this tool can help anticipate and prioritize hazards, accelerate decision making and proactively mitigate risk to consumers.",A prioritize list of emerging signals and an interactive view of supporting documentation/factors.,Mar-23,c) Developed with both contracting and in-house resources,In-house,Yes,Warp Intelligent Learning Engine (WILEE),"Internally generated data during the premarket review process, web data collated from web crawls and a commercial data aggregator, scientific publications retrieved with API calls, grant data published by NIH.",, No,,k) None of the above,Yes,, ,,,,,,,,
Rapid Intuitive Pathogen Surveillance (RIPS),HHS/FDA/HFP,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Health & Medical,Classical/Predictive Machine Learning,"Identify and prioritize incoming sources of potential foodborne outbreaks, maximizing public health by reducing the time burden on regulators.",Enhanced WGS signal detection capability allowing regulators to catch emerging foodborne outbreaks before it can cause widespread public harm. ,Probability that a environmental food source is regulated by the FDA.,Feb-25,b) Developed in-house,, No,,Publicly available WGS metadata from NCBI.,, No,,k) None of the above,Yes,, ,,,,,,,,
AI-Powered Assistant for Pathogen Detection (AIPD),HHS/FDA/HFP,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Health & Medical,Generative AI,"The AIPD is designed to address several key challenges in data analysis for foodborne pathogens, such as accessibility barriers for data sources, manual workflow overhead, knowledge gaps in tool selection, and complex project management.","The expected benefits include enhanced data analysis efficiency, improved food safety surveillance, better resource utilization, and knowledge transfer and training.",The AIPD produces AI-assisted data reports,,,,,,,,,,,,, ,,,,,,,,
Product Label and Text Extraction System (PLATES),HHS/FDA/HFP,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Health & Medical,Classical/Predictive Machine Learning,"Manual food label data extraction causes slow data accessibility and insights.
Manual data processing and standardization causes slow data accessibility and insights.
Decentralized food label data limits research and regulatory processing of industry compliance and health impacts.","Reduced burden to HFP reviewers and data scientists reviewing and analyzing food product label data, including ingredient and nutrition research. The capabilities have significantly accelerated the data extraction and entry process, providing standardized and parsed structured data 35.29x faster than the manual process (reducing the manual burden by 97.08%). ","The system includes a user interface that allows users to upload food product images to receive extracted, standardized (utilizing FoodTrak standards), and metadata attached, structured data for 30+ key food data elements that can be reviewed and saved , exported, or published to downstream databases.",Jun-24,c) Developed with both contracting and in-house resources,"Trigent Solutions Inc, Digitrix LLC",Yes,"PLATES, FoodTrak",Internal FDA FoodTrak and OLOAS data.,�, No,�,k) None of the above,Yes,�, ,,,,,,,,
Data Ingestion and Content Explorer (DICE),HHS/FDA/HFP,hhs.caio@hhs.gov,a) No,b) Pilot � The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Health & Medical,Classical/Predictive Machine Learning,"Multiple stakeholders across HFP have the business need to search for content within artifacts and documents uploaded to various systems. For systems like CARA and CARTS, document search capabilities are limited due to the Appian technology stack utilized by these systems. As the Human Food Data Platform continues to grow, it will also need to provide SMEs with the capability to search within the data platform. Offices need a quicker way to search for content within documents and databases to find relevant data across a multitude of use cases including regulatory and compliance reviews, outbreak response investigation, and research tracking and administration. Additionally, multiple HFP offices have business processes requiring extracting structured data from unstructured documents for data analysis, regulatory reviews, and other business intelligence insights which are currently supported through manual operations. DICE will enable SMEs to obtain properly formatted structured data from unstructured data sources.","Accelerates the time for subject matter experts (SMEs) to find relevant data and content lost within images, hand-written documents, emails, and other artifacts and provides this in in a one-stop-shop user experience. Allows users to search through millions of documents quickly and makes data accessible to everyone in the HFP and not just those who have backend access. Extracting text from these artifacts makes it available for further analysis and natural language processing. Data can be further processed to detect sentiment, entities, key phrases, syntax, and topics. AWS and API based architecture brings a flexible and scalable framework to HFP to facilitate search use cases while enabling a cost-effective solution. Shared infrastructure for unstructured and structured intelligent search capabilities minimizes cost across CFSAN offices who have this same need. ","The system includes a user interface that allows users to view returned search results, templatize unstructured documents using the intelligent document processing workflow, and view extracted text with confidence scores from unstructured documents.",Jul-24,c) Developed with both contracting and in-house resources,"Trigent Solutions Inc, Digitrix LLC", No,,"CARTS system data, CARA system data.",�, No,�,k) None of the above,Yes,�, ,,,,,,,,
